Rank,Club,Country,Level,Elo,From,To
None,Bohemians Praha,CZE,1,1345.86096191,2018-05-27,2018-07-22
None,Excelsior,NED,1,1345.25817871,2018-05-07,2018-07-25
None,Dniprodzerzhynsk,UKR,1,1345.06811523,2018-05-20,2018-07-01
None,Trencin,SLK,0,1344.43737793,2017-08-04,2018-07-11
None,Zilina,SLK,0,1343.07043457,2017-08-04,2018-07-01
None,Rangers,SCO,1,1342.34777832,2018-05-14,2018-07-10
None,Vaduz,LIE,0,1341.06152344,2018-03-08,2018-07-11
None,Stromsgodset,NOR,1,1340.56164551,2018-06-11,2018-06-24
None,Horsens,DEN,1,1338.74206543,2018-05-22,2018-07-12
None,Hapoel Haifa,ISR,1,1338.41333008,2018-05-22,2018-07-10
None,Slovacko,CZE,1,1338.0213623,2018-05-27,2018-07-22
None,Beroe Stara Zagora,BUL,1,1337.8248291,2018-05-21,2018-07-11
None,Panetolikos,GRE,1,1336.96777344,2018-05-07,2018-07-24
None,Valerenga,NOR,1,1335.78588867,2018-06-11,2018-06-24
None,Kairat,KAZ,0,1334.50317383,2018-02-23,2018-07-10
None,Slaven Belupo,CRO,1,1333.81018066,2018-05-19,2018-07-12
None,Hobro,DEN,1,1333.75500488,2018-05-14,2018-07-12
None,US Quevilly,FRA,2,1332.46130371,2018-05-17,2018-07-01
None,Eupen,BEL,1,1332.30773926,2018-05-20,2018-07-26
None,Levadeiakos,GRE,1,1332.05371094,2018-05-07,2018-07-24
None,Haugesund,NOR,1,1331.92614746,2018-06-11,2018-06-24
None,Slask,POL,1,1330.19482422,2018-05-20,2018-07-10
None,Inter Baku,AZE,0,1329.66699219,2017-12-06,2018-07-11
None,Bnei Yehuda,ISR,1,1328.63549805,2018-05-22,2018-07-10
None,Dukla,CZE,1,1327.50488281,2018-05-27,2018-07-20
None,Breda,NED,1,1325.7097168,2018-05-07,2018-07-25
None,Vardar,MAC,0,1325.34655762,2017-12-08,2018-07-10
None,Pogon,POL,1,1324.09887695,2018-05-20,2018-07-10
None,Gaz Metan,ROM,1,1322.93640137,2018-06-03,2018-07-12
None,Netanya,ISR,1,1320.95336914,2018-05-22,2018-07-10
None,Odd Grenland,NOR,1,1318.09436035,2018-06-11,2018-06-25
None,Lechia,POL,1,1316.57177734,2018-05-20,2018-07-10
None,Leuven,BEL,1,1315.83935547,2018-05-19,2018-07-01
None,Chiajna,ROM,1,1314.21228027,2018-06-03,2018-07-12
None,Beerschot AC,BEL,1,1314.00756836,2018-05-20,2018-07-01
None,Twente,NED,1,1313.22827148,2018-05-07,2018-07-01
None,Cracovia,POL,1,1312.87487793,2018-05-20,2018-07-10
None,Sepsi,ROM,1,1312.76501465,2018-06-02,2018-07-12
None,Roda,NED,1,1312.16564941,2018-05-07,2018-07-01
None,Bourg-Peronnas,FRA,2,1311.25695801,2018-05-17,2018-07-01
None,Piast Gliwice,POL,1,1310.0690918,2018-05-20,2018-07-10
None,Tours,FRA,2,1309.56884766,2018-05-17,2018-07-01
None,Banik Ostrava,CZE,1,1308.39587402,2018-05-27,2018-07-23
None,Tromso,NOR,1,1307.3770752,2018-06-12,2018-06-24
None,Irtysh,KAZ,0,1307.07263184,2018-02-23,2018-07-10
None,Sundsvall,SWE,1,1305.2935791,2018-05-28,2018-07-03
None,Nis,SRB,1,1305.23364258,2018-05-18,2018-07-11
None,Karvina,CZE,1,1304.9642334,2018-05-27,2018-07-21
None,Korona,POL,1,1303.38696289,2018-05-21,2018-07-10
None,Rudes Zagreb,CRO,1,1303.29455566,2018-05-19,2018-07-12
None,Larisa,GRE,1,1301.99694824,2018-05-06,2018-07-24
None,Slovan Bratislava,SLK,0,1300.10388184,2017-08-04,2018-07-11
None,Skenderbeu,ALB,0,1299.86047363,2017-12-08,2018-07-01
None,M Petach Tikva,ISR,1,1299.79199219,2018-05-14,2018-07-10
None,Inter Zapresic,CRO,1,1298.18652344,2018-05-20,2018-07-12
None,Apollon Athens,GRE,1,1297.77001953,2018-05-06,2018-07-24
None,Hibernian,SCO,1,1297.63085938,2018-05-14,2018-07-10
None,Jihlava,CZE,1,1296.26611328,2018-05-27,2018-07-01
None,Tescoma Zlin,CZE,1,1295.74902344,2018-05-27,2018-07-21
None,Kristiansund,NOR,1,1294.71057129,2018-06-10,2018-06-24
None,Voluntari,ROM,1,1293.14025879,2018-06-03,2018-07-12
None,Lamia,GRE,1,1291.41442871,2018-05-06,2018-07-24
None,Lyngby,DEN,1,1289.32800293,2018-05-22,2018-07-01
None,Torpedo Zhodino,BLR,1,1288.3112793,2018-06-14,2018-06-17
None,Brno,CZE,1,1287.89160156,2018-05-27,2018-07-01
None,Venlo,NED,1,1287.57299805,2018-05-07,2018-07-25
None,Lierse,BEL,1,1286.63122559,2018-05-12,2018-07-01
None,Timisoara,ROM,1,1284.90063477,2018-06-03,2018-07-01
None,Kukesi,ALB,0,1283.26733398,2017-12-08,2018-07-11
None,Silkeborg,DEN,1,1281.90161133,2018-05-22,2018-07-01
None,Novi Sad,SRB,1,1281.26184082,2018-05-18,2018-07-11
None,Zlatibor,SRB,1,1279.57299805,2018-05-18,2018-07-11
None,Kiryat Shmona,ISR,1,1277.94311523,2018-05-14,2018-07-10
None,Maccabi Haifa,ISR,1,1277.7635498,2018-05-14,2018-07-10
None,Dundalk,IRL,0,1274.74572754,2017-07-21,2018-07-10
None,Celje,SVN,1,1274.46118164,2018-05-28,2018-07-11
None,Cukaricki,SRB,1,1273.17529297,2018-05-18,2018-07-11
None,HJK Helsinki,FIN,0,1268.79443359,2017-07-21,2018-07-10
None,Kilmarnock,SCO,1,1268.34790039,2018-05-14,2018-07-10
None,Rabotnicki,MAC,0,1268.18261719,2017-12-08,2018-07-10
None,Kerkyra,GRE,1,1267.71398926,2018-05-06,2018-07-01
None,Lillestrom,NOR,1,1267.61157227,2018-06-11,2018-06-24
None,Cherno More,BUL,1,1266.86889648,2018-05-25,2018-07-11
None,Karabuekspor,TUR,1,1266.14331055,2018-05-19,2018-07-01
None,Sparta Rotterdam,NED,1,1265.41125488,2018-05-07,2018-07-01
None,IK Sirius,SWE,1,1264.39404297,2018-05-28,2018-07-03
None,Nova Gorica,SVN,1,1264.17224121,2018-05-28,2018-07-11
None,Dinamo Brest,BLR,1,1263.48962402,2018-06-14,2018-06-18
None,Neman Grodno,BLR,1,1260.06530762,2018-06-12,2018-06-17
None,Stabaek,NOR,1,1259.70080566,2018-06-11,2018-06-23
None,Hearts,SCO,1,1259.08850098,2018-05-14,2018-07-10
None,Arka,POL,1,1258.89367676,2018-05-20,2018-07-10
None,Ranheim,NOR,1,1258.74780273,2018-06-11,2018-06-24
None,Krusevac,SRB,1,1258.47949219,2018-05-18,2018-07-11
None,Raanana,ISR,1,1256.06835938,2018-05-14,2018-07-10
None,Vozdovac Beograd,SRB,1,1255.4498291,2018-05-20,2018-07-11
None,Ordabasy,KAZ,0,1254.02075195,2018-02-23,2018-07-01
None,Pelister Bitola,MAC,0,1253.51550293,2017-12-08,2018-07-01
None,Honved,HUN,1,1251.75598145,2018-06-03,2018-07-10
None,Bnei Sakhinin,ISR,1,1251.70751953,2018-05-14,2018-07-10
None,Slavia Sofia,BUL,1,1251.69946289,2018-05-14,2018-07-11
None,Trelleborg,SWE,1,1251.1315918,2018-05-28,2018-07-07
None,Septemvri Sofia,BUL,1,1250.66088867,2018-05-12,2018-07-11
None,FK Vitebsk,BLR,1,1249.96179199,2018-06-13,2018-06-18
None,Etar,BUL,1,1244.15600586,2018-05-22,2018-07-11
None,Ujpest,HUN,1,1243.78369141,2018-06-03,2018-07-10
None,Rudar Velenje,SVN,1,1242.09765625,2018-05-28,2018-07-11
None,Lok Plovdiv,BUL,1,1241.63366699,2018-05-17,2018-07-11
None,Brommapojkarna,SWE,1,1240.66113281,2018-05-28,2018-07-07
None,Sandecja Nowy Sacz,POL,1,1238.82446289,2018-05-20,2018-07-01
None,Istra 1961,CRO,1,1237.90576172,2018-05-19,2018-07-12
None,Dalkurd,SWE,1,1236.29504395,2018-05-28,2018-07-07
None,Zeljeznicar,BHZ,0,1235.17028809,2017-07-21,2018-07-11
None,FK Sarajevo,BHZ,0,1232.6048584,2017-07-21,2018-07-11
None,Nieciecza,POL,1,1229.46350098,2018-05-20,2018-07-01
None,KR Reykjavik,ISL,0,1229.31384277,2017-08-25,2018-07-01
None,Helsingor,DEN,1,1227.30249023,2018-05-22,2018-07-01
None,Debrecen,HUN,1,1222.54296875,2018-06-03,2018-07-10
None,Hafnarfjoerdur,ISL,0,1222.12365723,2017-08-25,2018-07-11
None,Cork City,IRL,0,1221.36901855,2017-07-21,2018-07-10
None,Platanias,GRE,1,1220.31872559,2018-05-06,2018-07-01
None,Slutsk,BLR,1,1218.93347168,2018-06-13,2018-06-16
None,St Johnstone,SCO,1,1218.58251953,2018-05-13,2018-07-10
None,Tirana,ALB,0,1218.14978027,2017-12-08,2018-07-01
None,Suduva,LIT,0,1218.09667969,2017-08-25,2018-06-28
None,Dunav Ruse,BUL,1,1214.59399414,2018-05-22,2018-07-11
None,Siroki Brijeg,BHZ,0,1214.02258301,2017-07-21,2018-07-11
None,Partizani Tirana,ALB,0,1210.51367188,2017-12-08,2018-07-11
None,Cibalia Vinkovci,CRO,1,1210.49316406,2018-05-19,2018-07-01
None,Derry City,IRL,0,1209.32507324,2017-07-21,2018-07-10
None,Ashdod,ISR,1,1206.00488281,2018-05-14,2018-07-10
None,Paksi,HUN,1,1204.83044434,2018-06-03,2018-07-10
None,Bodoe Glimt,NOR,1,1204.82507324,2018-06-11,2018-06-24
None,Kuopio,FIN,0,1199.00390625,2018-01-01,2018-07-10
None,Ilves Tampere,FIN,0,1199.00390625,2018-01-01,2018-07-10
None,Lahti,FIN,0,1199.00390625,2018-01-01,2018-07-10
None,Vereya,BUL,1,1198.11889648,2018-05-21,2018-07-11
None,Olimpia Balti,MOL,0,1198.11279297,2017-12-08,2018-07-10
None,Shamrock,IRL,0,1195.85144043,2017-07-21,2018-07-10
None,Motherwell,SCO,1,1192.80114746,2018-05-13,2018-07-10
None,Juventus Bucuresti,ROM,1,1191.31945801,2018-06-03,2018-07-01
None,Mladost Lucani,SRB,1,1190.47241211,2018-05-18,2018-07-11
None,Milsami Orhei,MOL,0,1186.41137695,2017-12-08,2018-07-10
None,Batumi,GEO,0,1185.90136719,2017-07-19,2018-07-01
None,Zalgiris Vilnius,LIT,0,1185.85852051,2017-08-25,2018-06-28
None,Zrinjski Mostar,BHZ,0,1185.78466797,2017-07-21,2018-07-11
None,Isloch,BLR,1,1184.1307373,2018-06-13,2018-06-18
None,Dacia Chisinau,MOL,0,1183.49194336,2017-12-08,2018-07-01
None,Ventspils,LAT,0,1182.35668945,2017-07-21,2018-07-11
None,Chikhura,GEO,0,1181.82043457,2017-07-19,2018-07-10
None,Puskas Akademia,HUN,1,1181.51599121,2018-06-03,2018-07-10
None,FC Samtredia,GEO,0,1180.26123047,2017-07-19,2018-07-10
None,Torpedo Kutaisi,GEO,0,1179.66296387,2017-07-19,2018-07-10
None,Haladas,HUN,1,1172.82861328,2018-06-03,2018-07-10
None,Trakai,LIT,0,1171.77062988,2017-08-25,2018-06-28
None,Gorodeya,BLR,1,1171.42675781,2018-06-12,2018-06-16
None,Balmazujvarosi,HUN,1,1169.89501953,2018-06-03,2018-07-01
None,Sandefjord,NOR,1,1168.69824219,2018-06-11,2018-06-24
None,Vitosha Bistritsa,BUL,1,1167.41052246,2018-05-22,2018-07-11
None,Mezokovesd-Zsory,HUN,1,1164.9206543,2018-06-03,2018-07-10
None,Zemun,SRB,1,1164.48034668,2018-05-18,2018-07-11
None,Aluminij,SVN,1,1163.66430664,2018-05-28,2018-07-11
None,Blagoevgrad,BUL,1,1163.19470215,2018-05-22,2018-07-01
None,Diosgyori,HUN,1,1163.05175781,2018-06-03,2018-07-10
None,Krsko,SVN,1,1160.71081543,2018-05-28,2018-07-11
None,Radnik Surdulica,SRB,1,1160.42358398,2018-05-18,2018-07-11
None,Valur,ISL,0,1155.75476074,2017-08-25,2018-07-11
None,FK Minsk,BLR,1,1153.25756836,2018-06-13,2018-06-16
None,Start,NOR,1,1152.67272949,2018-06-11,2018-06-24
None,Vasas SC,HUN,1,1150.18493652,2018-06-03,2018-07-01
None,Ross County,SCO,1,1148.41577148,2018-05-13,2018-07-01
None,Ashkelon,ISR,1,1146.70507812,2018-05-14,2018-07-01
None,Macva Sabac,SRB,1,1146.6751709,2018-05-18,2018-07-11
None,Stjarnan,ISL,0,1145.44396973,2017-08-25,2018-07-11
None,Dundee,SCO,1,1144.86108398,2018-05-13,2018-07-10
None,Jelgava,LAT,0,1144.26696777,2017-07-21,2018-07-01
None,Lozinca,SRB,1,1143.78308105,2018-05-18,2018-07-01
None,Rad,SRB,1,1140.14746094,2018-05-18,2018-07-11
None,Smolevichi,BLR,1,1139.55371094,2018-06-12,2018-06-18
None,Atlantas,LIT,0,1136.23156738,2017-08-25,2018-06-28
None,Partick,SCO,1,1135.7253418,2018-05-13,2018-07-01
None,Acco Acre,ISR,1,1134.02160645,2018-05-14,2018-07-01
None,Triglav,SVN,1,1133.36608887,2018-05-28,2018-07-11
None,Gomel,BLR,1,1133.33862305,2018-06-14,2018-06-18
None,Backa Palanka,SRB,1,1132.64208984,2018-05-18,2018-07-11
None,Mladost,MNT,0,1124.08288574,2017-07-21,2018-07-11
None,Hamilton,SCO,1,1123.95788574,2018-05-13,2018-07-10
None,Ankaran Hrvatini,SVN,1,1123.90380859,2018-05-28,2018-07-01
None,Podgorica,MNT,0,1121.08789062,2017-07-21,2018-07-11
None,Luch Minsk,BLR,1,1111.70556641,2018-06-12,2018-06-17
None,Torpedo Minsk,BLR,1,1106.4161377,2018-06-13,2018-06-16
None,Spartaks Jurmala,LAT,0,1105.44543457,2017-07-21,2018-07-11
None,Sutjeska,MNT,0,1105.11828613,2017-07-21,2018-07-11
None,Differdang,LUX,0,1104.13916016,2017-08-04,2018-07-01
None,Zeta Golubovci,MNT,0,1103.87121582,2017-07-21,2018-07-01
None,Dudelange,LUX,0,1102.0501709,2017-08-04,2018-07-10
None,Liepajas,LAT,0,1100.48132324,2017-07-21,2018-07-11
None,Levadia Tallinn,EST,0,1097.80334473,2017-07-21,2018-07-10
None,Dnepr Mogilev,BLR,1,1095.47973633,2018-06-13,2018-06-17
None,Fola Esch,LUX,0,1089.80200195,2017-08-04,2018-07-10
None,Prishtine,KOS,0,1084.08666992,2017-07-07,2018-06-26
None,Borac Cacak,SRB,1,1073.58239746,2018-05-18,2018-07-01
None,Nomme Kalju,EST,0,1071.58959961,2017-07-21,2018-07-10
None,Niedercorn,LUX,0,1063.15734863,2017-08-04,2018-07-10
None,Valletta,MLT,0,1044.78369141,2017-07-21,2018-06-26
None,The New Saints,WAL,0,1041.6661377,2017-07-19,2018-06-28
None,Trepca 89,KOS,0,1041.19580078,2017-07-07,2018-06-26
None,Connahs Quay,WAL,0,1036.61621094,2017-07-19,2018-06-28
None,Linfield,NIR,0,1035.30383301,2017-07-20,2018-07-01
None,Crusaders,NIR,0,1019.93841553,2017-07-20,2018-07-11
None,Pyunik,ARM,0,1018.24938965,2017-07-19,2018-07-10
None,Bangor City,WAL,0,1017.12689209,2017-07-19,2018-06-28
None,Hibernians Paola,MLT,0,1016.50622559,2017-07-21,2018-06-26
None,Bala,WAL,0,1009.20629883,2017-07-19,2018-06-28
None,Gota,FAR,0,1008.88446045,2017-07-19,2018-06-28
None,Shirak,ARM,0,1005.42089844,2017-07-19,2018-07-01
None,Ballymena United,NIR,0,1002.68701172,2017-07-20,2018-07-01
None,Floriana,MLT,0,1002.08551025,2017-07-21,2018-06-26
None,Coleraine,NIR,0,1001.07318115,2017-07-20,2018-07-11
None,Balzan,MLT,0,998.341796875,2017-07-21,2018-06-26
None,Alashkert,ARM,0,991.476135254,2017-07-19,2018-07-10
None,FC Infonet,EST,0,971.967163086,2017-07-21,2018-07-01
None,Flora Tallinn,EST,0,968.368164062,2017-07-21,2018-07-10
None,Gandzasar Kapan,ARM,0,963.657226562,2017-07-19,2018-07-10
None,College Europa,GIB,0,941.426818848,2017-07-07,2018-06-26
None,Lincoln,GIB,0,934.136291504,2017-07-07,2018-06-26
None,Klaksvik,FAR,0,904.52532959,2017-07-19,2018-06-28
None,St Josephs,GIB,0,899.507568359,2017-07-07,2018-06-26
None,Runavik,FAR,0,898.5390625,2017-07-19,2018-06-28
None,B 36 Torshavn,FAR,0,876.229553223,2017-07-19,2018-06-28
None,Santa Coloma,AND,0,767.492736816,2017-07-07,2018-06-26
None,Escale,AND,0,763.500854492,2017-07-07,2018-06-26
None,Matecosa Sant Julia,AND,0,762.34967041,2017-07-07,2018-06-26
None,Tre Penne,SMR,0,685.851745605,2017-07-07,2018-06-26
None,Folgore,SMR,0,685.085388184,2017-07-07,2018-06-26
None,La Fiorita,SMR,0,681.354309082,2017-07-07,2018-06-26


